City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,porto velho,-8.7619,-63.9039,27.03,89,40,0.51,BR,1711935147
83,tanah merah,5.8,102.15,28.9,79,88,0.86,MY,1711935254
84,asmar,35.0333,71.3581,11.73,48,0,4.93,AF,1711935254
85,vallegrande,-18.4897,-64.1069,15.24,92,100,0.72,BO,1711935255
86,ushuaia,-54.8,-68.3,3.81,75,40,3.6,AR,1711935231
87,tiksi,71.6872,128.8694,-9.36,84,100,9.53,RU,1711935255
88,gebeit,21.0667,36.3167,19.53,36,0,2.35,SD,1711935255
89,kavieng,-2.5744,150.7967,28.03,77,42,1.52,PG,1711935255
90,port alfred,-33.5906,26.891,19.54,87,95,0.45,ZA,1711935255
91,ilulissat,69.2167,-51.1,-4.99,86,75,2.06,GL,1711935256
92,kingston,17.997,-76.7936,27.53,74,75,9.26,JM,1711935169
93,jamai,22.2,78.5833,26.34,28,100,2.1,IN,1711935256
94,amga,60.8953,131.9608,-9.4,84,81,1.56,RU,1711935256
95,hithadhoo,-0.6,73.0833,28.98,72,93,2.95,MV,1711935256
96,libreville,0.3925,9.4537,24.92,91,99,3.47,GA,1711935257
97,margaret river,-33.95,115.0667,17.99,47,0,4.62,AU,1711935257
98,albany,42.6001,-73.9662,7.36,61,69,1.99,US,1711935001
99,bom jesus,-9.0744,-44.3586,23.54,89,62,1.63,BR,1711935244
100,alta,69.9689,23.2717,-11.41,76,100,6.26,NO,1711935257
101,college,64.8569,-147.8028,4.18,65,100,8.75,US,1711935257
102,salekhard,66.53,66.6019,-7.39,95,100,5.29,RU,1711935258
103,papatowai,-46.5619,169.4708,13.66,65,93,1.86,NZ,1711935258
104,shar,49.5886,81.0453,2.93,64,89,1.26,KZ,1711935258
105,la passe,45.5549,-0.8967,9.99,83,70,6.76,FR,1711935258
106,margherita,27.2833,95.6833,19.18,97,85,0.19,IN,1711935259
107,cacador,-26.7753,-51.015,18.98,72,95,0.43,BR,1711935259
108,kailua-kona,19.6406,-155.9956,26.98,81,40,4.63,US,1711935139
109,colonia,50.9333,6.95,11.65,86,0,2.06,DE,1711934986
110,susuman,62.7833,148.1667,-12.23,81,74,1.34,RU,1711935259
111,vilyuchinsk,52.9306,158.4028,1.15,99,100,2.12,RU,1711935260
112,newman,37.3138,-121.0208,18.41,80,88,3.13,US,1711935260
113,sathupalli,17.2497,80.869,26.76,64,3,2.99,IN,1711935260
114,wynyard,-41.0,145.7167,17.86,70,100,4.59,AU,1711935260
115,neya,58.2972,43.8681,1.15,98,100,2.4,RU,1711935260
116,pemba,-12.974,40.5178,25.39,100,75,2.57,MZ,1711935261
117,aasiaat,68.7098,-52.8699,-6.37,94,100,2.6,GL,1711935261
118,uturoa,-16.7333,-151.4333,28.34,79,96,9.36,PF,1711935261
119,constantia,44.1833,28.65,15.39,66,7,3.58,RO,1711935004
120,ribeira grande,38.5167,-28.7,15.99,90,100,10.73,PT,1711935261
121,al hudaydah,14.7978,42.9545,27.15,81,97,8.11,YE,1711935261
122,san fernando de apure,7.8878,-67.4724,29.76,52,61,0.62,VE,1711935262
123,lompoc,34.6391,-120.4579,15.9,74,40,5.14,US,1711935067
124,pisco,-13.7,-76.2167,22.79,83,0,7.72,PE,1711935262
125,afaahiti,-17.75,-149.2833,26.93,83,97,11.15,PF,1711935262
126,vila velha,-20.3297,-40.2925,25.53,86,40,3.13,BR,1711934941
127,berdigestyakh,62.0989,126.6992,-10.66,86,79,1.31,RU,1711935262
128,tabou,4.423,-7.3528,27.15,89,9,2.44,CI,1711935263
129,kruisfontein,-34.0033,24.7314,17.88,85,100,4.97,ZA,1711935263
130,tadine,-21.55,167.8833,25.02,75,56,6.3,NC,1711935263
131,watsa,3.0372,29.5355,18.67,99,100,1.54,CD,1711935263
132,isola di capo rizzuto,38.96,17.0933,17.32,94,73,4.87,IT,1711935264
133,vorgashor,67.5833,63.95,-8.13,96,100,3.65,RU,1711935264
134,khomeyn,33.6423,50.0789,8.64,40,0,0.71,IR,1711935264
135,mamit,23.9333,92.4833,17.46,88,75,1.54,IN,1711935264
136,qianzhou,28.3167,109.7167,22.01,86,100,1.49,CN,1711935264
137,road town,18.4167,-64.6167,26.02,73,40,4.12,VG,1711935190
138,vilyuysk,63.7553,121.6247,-11.67,86,6,1.79,RU,1711935265
139,wailua homesteads,22.0669,-159.378,25.44,68,20,5.66,US,1711935199
140,quellon,-43.1167,-73.6167,7.03,83,3,1.48,CL,1711935074
141,bissora,12.2231,-15.4475,25.57,41,94,0.19,GW,1711935265
142,praia da vitoria,38.7333,-27.0667,15.42,72,20,5.68,PT,1711935266
143,geraldton,-28.7667,114.6,25.23,47,65,7.2,AU,1711935055
144,aconibe,1.2968,10.9369,19.79,99,100,1.1,GQ,1711935266
145,'ali al gharbi,32.4633,46.6864,19.6,45,1,4.57,IQ,1711935266
146,kapuskasing,49.4169,-82.4331,0.05,100,100,4.63,CA,1711935266
147,khandyga,62.6667,135.6,-12.58,87,79,1.26,RU,1711935267
148,luderitz,-26.6481,15.1594,16.1,88,0,5.72,NA,1711935267
149,appingedam,53.3217,6.8583,10.62,90,54,0.89,NL,1711935267
150,fale old settlement,-9.3852,-171.2468,29.62,74,36,6.22,TK,1711935267
151,viedma,-40.8135,-62.9967,10.64,47,0,3.19,AR,1711935000
152,dzerzhinskoye,56.8344,95.2283,-5.14,73,74,5.12,RU,1711935268
153,enewetak,11.3474,162.3373,27.14,79,100,9.53,MH,1711935268
154,salina cruz,16.1667,-95.2,26.89,76,0,4.12,MX,1711935268
155,anton lizardo,19.05,-95.9833,27.12,88,3,3.56,MX,1711935268
156,pionerskiy,54.9508,20.2275,15.08,82,100,3.97,RU,1711935268
157,coahuayana de hidalgo,18.7,-103.6583,22.09,83,99,0.88,MX,1711935269
158,facaeni,44.5667,27.9,16.73,50,7,2.77,RO,1711935269
159,east london,-33.0153,27.9116,22.08,81,93,7.61,ZA,1711935004
160,kuta,-8.7233,115.1723,27.97,94,40,1.03,ID,1711935269
161,uruzgan,32.8333,66.0,9.86,47,0,0.98,AF,1711935269
162,el calafate,-50.3408,-72.2768,6.32,78,100,3.54,AR,1711935250
163,mokhsogollokh,61.4681,128.9203,-13.76,90,89,1.53,RU,1711935270
164,ojinaga,29.5667,-104.4167,31.53,18,0,6.17,MX,1711935270
165,la'ie,21.6477,-157.9253,28.98,69,0,2.24,US,1711935270
166,kuanda,56.3161,116.0806,-11.65,82,26,0.76,RU,1711935270
167,abepura,-2.6333,140.5833,29.45,74,20,1.03,ID,1711935271
168,greenland,43.0362,-70.8328,7.19,62,0,0.0,US,1711935271
169,udachny,66.4167,112.4,-7.63,89,80,4.61,RU,1711935271
170,yanam,16.7333,82.2167,27.64,71,1,1.96,IN,1711935271
171,kingscliff,-28.2667,153.5667,25.96,65,100,3.09,AU,1711935271
172,quixada,-4.9714,-39.0153,22.72,97,100,0.09,BR,1711935271
173,vadso,70.0744,29.7487,-10.91,73,97,5.66,NO,1711935272
174,jabor,5.921,169.6434,28.19,81,100,8.56,MH,1711935272
175,rongelap,11.1635,166.8941,26.97,72,41,9.2,MH,1711935272
176,chonchi,-42.6128,-73.8092,5.56,94,21,0.38,CL,1711935088
177,mariehamn,60.0973,19.9348,2.92,100,0,1.54,AX,1711935273
178,qashyr,53.0675,76.1036,0.62,84,88,4.33,KZ,1711935273
179,georgetown,5.4112,100.3354,29.41,82,20,2.06,MY,1711934984
180,mukalla,14.5425,49.1242,25.44,74,14,2.78,YE,1711935273
181,arraial do cabo,-22.9661,-42.0278,23.71,87,0,1.57,BR,1711935273
182,dakhla,23.6848,-15.958,18.05,84,10,5.6,EH,1711935274
183,hameenlinna,60.996,24.4643,4.52,99,86,2.51,FI,1711935274
184,orcopampa,-15.2661,-72.3417,7.41,91,100,2.02,PE,1711935274
185,maceio,-9.6658,-35.7353,25.69,100,75,1.54,BR,1711935205
186,vallenar,-28.5708,-70.7581,20.89,64,0,0.31,CL,1711935275
187,bac lieu,9.285,105.7244,30.12,62,100,2.54,VN,1711935275
188,peterhead,57.5058,-1.7981,4.22,90,100,3.87,GB,1711935275
189,lazaro cardenas,17.9583,-102.2,23.41,82,8,2.24,MX,1711935194
190,rensselaer,42.7168,-73.4829,6.43,64,19,1.56,US,1711935087
191,labis,2.385,103.021,28.34,79,100,0.91,MY,1711935275
192,hargeysa,9.56,44.065,22.09,45,16,3.35,SO,1711935276
193,belozersk,60.0326,37.7957,3.32,96,90,0.45,RU,1711935276
194,manwat,19.3,76.5,31.22,25,49,0.75,IN,1711935276
195,tura,25.5198,90.2201,24.49,73,55,3.47,IN,1711935276
196,kodiak,57.79,-152.4072,0.73,86,100,0.0,US,1711935005
197,caluula,11.9661,50.7569,26.99,75,5,6.09,SO,1711935277
198,isafjordur,66.0755,-23.124,-5.17,84,100,10.99,IS,1711935277
199,paka,4.6374,103.4368,26.96,94,20,0.51,MY,1711935277
200,broome,42.2506,-75.833,5.95,80,100,0.71,US,1711935277
201,raja,8.4596,25.678,24.76,19,99,1.6,SS,1711935277
202,pahrump,36.2083,-115.9839,13.47,53,99,2.68,US,1711935145
203,novaya igirma,57.1334,103.9112,-0.53,80,100,5.62,RU,1711935278
204,chui,-33.6971,-53.4616,18.35,61,100,5.27,UY,1711935278
205,zliten,32.4674,14.5687,23.72,28,0,5.23,LY,1711935278
206,santa maria,-29.6842,-53.8069,21.61,88,75,1.54,BR,1711934998
207,lhasa,29.65,91.1,7.91,14,4,1.87,CN,1711935279
208,okhotsk,59.3833,143.3,-0.95,75,100,3.61,RU,1711935279
209,qaqortoq,60.7167,-46.0333,-6.94,74,95,2.45,GL,1711935279
210,sinabang,2.4803,96.3801,28.36,78,99,0.38,ID,1711935279
211,qarazhal,48.0078,70.7903,0.79,62,6,2.19,KZ,1711935280
212,hammerfest,70.6634,23.6821,-6.75,86,75,8.23,NO,1711935280
213,kapa'a,22.0752,-159.319,26.18,67,20,5.66,US,1711935280
214,kuraymah,18.55,31.85,22.5,22,40,4.65,SD,1711935280
215,kalyazin,57.2403,37.8433,7.79,88,100,4.39,RU,1711935280
216,jamestown,42.097,-79.2353,4.45,92,20,2.57,US,1711935239
217,west bay,19.3667,-81.4167,26.7,81,25,6.22,KY,1711935183
218,glendive,47.1053,-104.7125,1.79,69,100,4.63,US,1711935281
219,bopolu,7.0667,-10.4875,25.13,94,88,0.66,LR,1711935281
